Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.59.40	22.58.13	01.01.26	
2. Link Surya to M5	Host is alive	23.59.39	22.53.02	01.06.36	
3. Link Surya to New AB	Host is alive	23.59.39	22.58.11	01.01.28	
4. Link New AB to Surya	Host is alive	23.59.39	22.53.02	01.06.36	
5. Link New AB to Farnorth	Host is alive	23.59.40	23.03.21	00.56.19	
6. Link Farnorth to New AB	Host is alive	23.59.18	23.18.43	00.40.34	
7. Farnorth to Mega Shop	Host is alive	23.59.09	23.58.28	00.00.40	
8. Mega Shop to Farnorth	No answer	1 day 00.01.01	03.30.41	20.30.20	
9. Link Liebherr Office To Surya	Host is alive	23.59.11	23.18.37	00.40.34	
9. Link Surya To Liebherr Office	Host is alive	23.59.11	23.18.36	00.40.34	

