Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.57.00	23.57.00	00.00.00	
10. Link Liebherr Office To Surya	Host is alive	1 day 00.01.02	1 day 00.01.02	00.00.00	
2. Link Surya to M5	Host is alive	23.56.59	23.56.59	00.00.00	
3. Link Surya to New AB	Host is alive	23.56.59	23.56.59	00.00.00	
4. Link New AB to Surya	Host is alive	23.56.59	23.56.59	00.00.00	
5. Link New AB to Farnorth	Host is alive	23.57.08	23.57.08	00.00.00	
6. Link Farnorth to New AB	Host is alive	1 day 00.01.13	23.51.05	00.10.08	
7. Farnorth to Mega Shop	Host is alive	1 day 00.00.26	1 day 00.00.26	00.00.00	
8. Mega Shop to Farnorth	Host is alive	1 day 00.00.37	23.00.23	01.00.13	
9. Link Surya To Liebherr Office	Host is alive	1 day 00.01.01	1 day 00.01.01	00.00.00	

