Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	23.57.36	23.47.25	00.10.10	
02. Switch KPC LBTT	Host is alive	23.57.41	23.42.23	00.15.17	
04. Exalt KPC Pelangi Camp	Host is alive	23.57.36	23.47.25	00.10.10	
05. Switch KPC 15K	Host is alive	23.57.36	23.47.25	00.10.10	
10. Link Metro MKN Jakarta-----!	Host is alive	23.57.28	23.57.28	00.00.00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23.57.26	23.57.26	00.00.00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23.57.26	23.57.26	00.00.00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23.57.26	23.57.26	00.00.00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23.57.26	23.57.26	00.00.00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23.57.26	23.57.26	00.00.00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23.57.26	23.57.26	00.00.00	
21. Link TBTS Inul Middle	Host is alive	23.57.40	23.47.23	00.10.16	
22. Link TBTS Galaxy ( switch )	Host is alive	23.57.27	23.57.27	00.00.00	
23. Link TBTS Lignite	Host is alive	23.57.49	23.42.24	00.15.25	
26. Link Backup Nokia Lignite to Middle	Host is alive	23.57.51	23.42.24	00.15.27	
27. Link Backup Nokia Middle toLignite	Host is alive	23.57.49	23.42.24	00.15.25	
28. Link NEC AB-to-BIG	Host is alive	23.57.31	23.57.31	00.00.00	
29. Link NEC BINTANG-to-AB	Host is alive	23.57.33	23.57.33	00.00.00	
30. Link NEC AB-to-FN	Host is alive	23.57.29	23.54.30	00.02.58	
31. Link NEC FN-to-AB	Host is alive	23.57.23	23.55.00	00.02.23	
32. Link NEC HT to AB	Host is alive	23.57.30	23.57.30	00.00.00	
33. Link NEC AB to HT	Host is alive	23.57.23	23.50.29	00.06.53	
Genset CH 15000	Host is alive	23.57.44	23.47.27	00.10.16	

