Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	10.20.58	10.20.58	00.00.00	
2. Link Surya to M5	Host is alive	10.20.52	10.20.52	00.00.00	
3. Link Surya to New AB	Host is alive	10.20.53	10.20.53	00.00.00	
4. Link New AB to Surya	Host is alive	10.20.54	10.20.54	00.00.00	
5. Link New AB to Farnorth	Host is alive	10.20.53	10.20.53	00.00.00	
6. Link Farnorth to New AB	Host is alive	10.30.42	10.30.42	00.00.00	
7. Farnorth to Mega Shop	Host is alive	10.30.28	10.30.28	00.00.00	
8. Mega Shop to Farnorth	No answer	10.32.20	00.00.00	10.32.20	
9. Link Liebherr Office To Surya	Host is alive	10.30.34	10.30.34	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	10.30.34	10.30.34	00.00.00	

