Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	1 day 00:00:59	23:55:52	00:05:07	
2. Link Surya to M5	Host is alive	1 day 00:00:59	23:55:52	00:05:07	
3. Link Surya to New AB	Host is alive	1 day 00:00:56	23:55:48	00:05:07	
4. Link New AB to Surya	Host is alive	1 day 00:00:57	23:55:50	00:05:07	
6. Link Farnorth to New AB	Host is alive	1 day 00:00:53	1 day 00:00:53	00:00:00	
7. Farnorth to Mega Shop	Host is alive	1 day 00:00:19	1 day 00:00:19	00:00:00	
8. Mega Shop to Farnorth	No answer	1 day 00:05:09	00:00:00	1 day 00:05:09	
9. Link Liebherr Office To Surya	Host is alive	1 day 00:00:51	23:50:43	00:10:08	
Link Surya To Liebherr Office	Host is alive	1 day 00:00:51	23:50:43	00:10:08	

