Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:58:22	23:58:22	
03. Exalt KPC Pit A -----!	00:00:00	23:58:21	23:58:21	
04. Exalt KPC Pelangi Camp	00:00:00	23:58:21	23:58:21	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:58:15	23:58:15	
08. Exalt KPC di Pineridge -----!	00:00:00	23:58:15	23:58:15	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:59:26	23:59:26	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:57:37	23:57:37	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:54:01	23:54:01	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:59:11	23:59:11	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:59:13	23:59:13	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:59:08	23:59:08	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:59:11	23:59:11	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:59:15	23:59:15	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:59:40	23:59:40	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:57:49	23:57:49	
Exalt-6 di Telkom Sgta	01:00:23	22:58:14	23:58:37	
Genset CH 15000	00:00:00	23:57:54	23:57:54	
Link M5 to PTH di M5	00:01:10	23:55:41	23:56:52	
Link PTH to M5 di PTH	00:00:00	23:58:08	23:58:08	

