Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:40:18	23:15:00	23:55:18	
03. Exalt KPC Pit A -----!	00:09:17	23:44:42	23:54:00	
04. Exalt KPC Pelangi Camp	00:03:06	23:51:17	23:54:23	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:03:10	23:51:28	23:54:39	
08. Exalt KPC di Pineridge -----!	00:00:00	23:54:28	23:54:28	
10. Link Metro PTDH Jakarta-----!	00:09:00	23:45:42	23:54:43	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:54:49	23:54:49	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:55:16	23:55:16	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:55:06	23:55:06	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:55:05	23:55:05	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:55:15	23:55:15	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:55:16	23:55:16	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:54:57	23:54:57	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:54:13	23:54:13	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:54:13	23:54:13	
Exalt-6 di Telkom Sgta	00:42:20	23:11:26	23:53:46	
Genset CH 15000	00:39:40	23:15:46	23:55:27	
Link M5 to PTH di M5	00:00:00	23:55:38	23:55:38	
Link PTH to M5 di PTH	00:00:00	23:55:10	23:55:10	

