Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:58:21	23:58:21	
03. Exalt KPC Pit A -----!	00:00:00	23:58:13	23:58:13	
04. Exalt KPC Pelangi Camp	00:00:00	23:58:14	23:58:14	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	1 day 00:01:10	1 day 00:01:10	
08. Exalt KPC di Pineridge -----!	00:00:00	1 day 00:01:10	1 day 00:01:10	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:58:56	23:58:56	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:59:34	23:59:34	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:59:01	23:59:01	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:59:09	23:59:09	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:59:04	23:59:04	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:59:02	23:59:02	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:59:03	23:59:03	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:59:09	23:59:09	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:59:40	23:59:40	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:59:50	23:59:50	
Exalt-6 di Telkom Sgta	00:00:00	23:59:35	23:59:35	
Genset CH 15000	00:00:00	23:59:37	23:59:37	
Link M5 to PTH di M5	00:00:00	23:58:40	23:58:40	
Link PTH to M5 di PTH	00:00:00	23:58:53	23:58:53	

