Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:46:30	23:12:47	23:59:17	
03. Exalt KPC Pit A -----!	00:00:00	1 day 00:01:03	1 day 00:01:03	
04. Exalt KPC Pelangi Camp	01:17:30	22:42:38	1 day 00:00:08	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	1 day 00:01:05	1 day 00:01:05	
08. Exalt KPC di Pineridge -----!	00:00:00	1 day 00:01:01	1 day 00:01:01	
10. Link Metro PTDH Jakarta-----!	00:12:29	23:45:11	23:57:41	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:58:21	23:58:21	
12. ALU SURYA              Oncall Telco SGT	00:00:00	1 day 00:03:49	1 day 00:03:49	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:59:04	23:59:04	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:59:02	23:59:02	
15. ALU HATARI             Oncall Telco SGT	00:00:00	1 day 00:03:49	1 day 00:03:49	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:58:48	23:58:48	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:59:03	23:59:03	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:59:37	23:59:37	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:59:37	23:59:37	
Exalt-6 di Telkom Sgta	01:04:35	22:53:59	23:58:35	
Genset CH 15000	00:00:00	23:59:25	23:59:25	
Link M5 to PTH di M5	00:13:59	23:45:12	23:59:11	
Link PTH to M5 di PTH	00:14:00	23:44:39	23:58:39	

