Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:57:21	23:57:21	
03. Exalt KPC Pit A -----!	00:00:00	23:57:21	23:57:21	
04. Exalt KPC Pelangi Camp	00:00:00	23:57:21	23:57:21	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:57:21	23:57:21	
08. Exalt KPC di Pineridge -----!	00:00:00	23:57:22	23:57:22	
10. Link Metro PTDH Jakarta-----!	00:11:20	23:43:16	23:54:37	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:55:05	23:55:05	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:52:46	23:52:46	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:57:46	23:57:46	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:57:44	23:57:44	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:57:48	23:57:48	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:52:48	23:52:48	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:57:45	23:57:45	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:57:37	23:57:37	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:55:11	23:55:11	
Exalt-6 di Telkom Sgta	00:30:06	23:25:58	23:56:05	
Genset CH 15000	00:00:00	23:55:10	23:55:10	
Link M5 to PTH di M5	00:10:30	23:44:07	23:54:38	
Link PTH to M5 di PTH	00:10:29	23:44:47	23:55:17	

