Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	1 day 00:01:19	1 day 00:01:19	
03. Exalt KPC Pit A -----!	00:00:00	1 day 00:01:15	1 day 00:01:15	
04. Exalt KPC Pelangi Camp	00:00:00	1 day 00:01:12	1 day 00:01:12	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	1 day 00:01:12	1 day 00:01:12	
08. Exalt KPC di Pineridge -----!	00:00:00	1 day 00:01:11	1 day 00:01:11	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:59:00	23:59:00	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:59:40	23:59:40	
12. ALU SURYA              Oncall Telco SGT	00:00:00	1 day 00:04:00	1 day 00:04:00	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:59:10	23:59:10	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:59:08	23:59:08	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:58:59	23:58:59	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:59:00	23:59:00	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:59:05	23:59:05	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:59:34	23:59:34	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:59:49	23:59:49	
Exalt-6 di Telkom Sgta	00:30:50	23:29:21	1 day 00:00:11	
Genset CH 15000	00:00:00	23:59:39	23:59:39	
Link M5 to PTH di M5	00:00:00	23:58:48	23:58:48	
Link PTH to M5 di PTH	00:00:00	23:59:43	23:59:43	

