Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:58:20	23:58:20	
03. Exalt KPC Pit A -----!	00:06:12	23:52:19	23:58:31	
04. Exalt KPC Pelangi Camp	00:00:00	23:58:20	23:58:20	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:58:17	23:58:17	
08. Exalt KPC di Pineridge -----!	00:00:00	23:58:14	23:58:14	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:55:58	23:55:58	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:57:41	23:57:41	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:59:06	23:59:06	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:59:13	23:59:13	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:59:18	23:59:18	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:59:14	23:59:14	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:59:16	23:59:16	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:59:21	23:59:21	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:59:41	23:59:41	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:57:49	23:57:49	
Exalt-6 di Telkom Sgta	00:31:39	23:26:20	23:57:59	
Genset CH 15000	00:00:00	23:57:41	23:57:41	
Link M5 to PTH di M5	00:00:00	23:57:51	23:57:51	
Link PTH to M5 di PTH	00:00:00	23:57:29	23:57:29	

