Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:59:47	23:59:47	
03. Exalt KPC Pit A -----!	00:00:00	23:59:50	23:59:50	
04. Exalt KPC Pelangi Camp	00:00:00	23:59:49	23:59:49	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:59:54	23:59:54	
08. Exalt KPC di Pineridge -----!	00:00:00	23:59:54	23:59:54	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:56:43	23:56:43	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:59:21	23:59:21	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:55:32	23:55:32	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:55:12	23:55:12	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:55:13	23:55:13	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:55:17	23:55:17	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:55:11	23:55:11	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:55:12	23:55:12	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:54:54	23:54:54	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:58:08	23:58:08	
Exalt-6 di Telkom Sgta	01:18:36	22:40:18	23:58:54	
Genset CH 15000	00:00:00	23:59:03	23:59:03	
Link M5 to PTH di M5	00:00:00	23:58:20	23:58:20	
Link PTH to M5 di PTH	00:00:00	23:58:39	23:58:39	

