Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:58:11	23:58:11	
03. Exalt KPC Pit A -----!	00:00:00	23:55:13	23:55:13	
04. Exalt KPC Pelangi Camp	00:00:00	23:55:11	23:55:11	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:55:14	23:55:14	
08. Exalt KPC di Pineridge -----!	00:00:00	23:55:10	23:55:10	
10. Link Metro PTDH Jakarta-----!	00:05:30	23:50:59	23:56:30	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:56:32	23:56:32	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:58:58	23:58:58	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:59:08	23:59:08	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:59:08	23:59:08	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:58:57	23:58:57	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:58:57	23:58:57	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:59:07	23:59:07	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:59:42	23:59:42	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:59:42	23:59:42	
Exalt-6 di Telkom Sgta	00:00:00	23:57:31	23:57:31	
Genset CH 15000	00:00:00	23:56:29	23:56:29	
Link M5 to PTH di M5	00:00:00	23:57:39	23:57:39	
Link PTH to M5 di PTH	00:00:00	23:56:50	23:56:50	

