Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:40:18	23:17:30	23:57:49	
03. Exalt KPC Pit A -----!	01:08:15	22:49:34	23:57:50	
04. Exalt KPC Pelangi Camp	00:40:18	23:17:35	23:57:54	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:57:54	23:57:54	
08. Exalt KPC di Pineridge -----!	00:00:00	23:57:54	23:57:54	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:55:09	23:55:09	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:56:10	23:56:10	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:56:02	23:56:02	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:56:02	23:56:02	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:56:02	23:56:02	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:56:02	23:56:02	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:56:02	23:56:02	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:56:02	23:56:02	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	1 day 00:01:02	1 day 00:01:02	
19. ALU 15000                 Oncall Telco BGL	00:40:48	23:15:18	23:56:07	
Exalt-6 di Telkom Sgta	00:27:38	23:28:10	23:55:49	
Genset CH 15000	00:39:40	23:16:28	23:56:09	
Link M5 to PTH di M5	00:01:10	23:54:32	23:55:43	
Link PTH to M5 di PTH	00:01:09	23:54:28	23:55:38	

