Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:59:53	23:59:53	
03. Exalt KPC Pit A -----!	00:00:00	23:59:51	23:59:51	
04. Exalt KPC Pelangi Camp	00:00:00	23:59:51	23:59:51	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:59:51	23:59:51	
08. Exalt KPC di Pineridge -----!	00:00:00	23:59:51	23:59:51	
10. Link Metro PTDH Jakarta-----!	00:06:21	23:54:27	1 day 00:00:48	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:59:20	23:59:20	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:58:35	23:58:35	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:58:30	23:58:30	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:58:30	23:58:30	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:58:33	23:58:33	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:58:33	23:58:33	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:58:28	23:58:28	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:58:19	23:58:19	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:57:19	23:57:19	
Exalt-6 di Telkom Sgta	00:38:37	23:20:56	23:59:33	
Genset CH 15000	00:00:00	23:59:12	23:59:12	
Link M5 to PTH di M5	00:02:21	23:56:35	23:58:56	
Link PTH to M5 di PTH	00:02:21	23:56:49	23:59:10	

