Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:06:12	23:49:05	23:55:18	
03. Exalt KPC Pit A -----!	00:03:06	23:52:04	23:55:11	
04. Exalt KPC Pelangi Camp	00:00:00	23:55:07	23:55:07	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:55:00	23:55:00	
08. Exalt KPC di Pineridge -----!	00:00:00	23:55:00	23:55:00	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:55:54	23:55:54	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:55:28	23:55:28	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:54:10	23:54:10	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:54:16	23:54:16	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:54:22	23:54:22	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:54:17	23:54:17	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:54:18	23:54:18	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:54:26	23:54:26	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:54:39	23:54:39	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:54:38	23:54:38	
Exalt-6 di Telkom Sgta	00:00:00	23:55:22	23:55:22	
Genset CH 15000	00:04:39	23:50:26	23:55:06	
Link M5 to PTH di M5	00:00:00	23:55:03	23:55:03	
Link PTH to M5 di PTH	00:00:00	23:55:22	23:55:22	

