Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:58:35	23:58:35	
03. Exalt KPC Pit A -----!	00:03:06	23:55:29	23:58:35	
04. Exalt KPC Pelangi Camp	00:00:00	23:58:37	23:58:37	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:58:35	23:58:35	
08. Exalt KPC di Pineridge -----!	00:00:00	23:58:35	23:58:35	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:59:55	23:59:55	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:58:54	23:58:54	
12. ALU SURYA              Oncall Telco SGT	00:00:00	1 day 00:00:55	1 day 00:00:55	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	1 day 00:00:34	1 day 00:00:34	
14. ALU AB                      Oncall Telco SGT	00:00:00	1 day 00:00:31	1 day 00:00:31	
15. ALU HATARI             Oncall Telco SGT	00:00:00	1 day 00:00:39	1 day 00:00:39	
16. ALU PTH                    Oncall Telco SGT	00:00:00	1 day 00:00:41	1 day 00:00:41	
17. ALU P11                    Oncall Telco SGT	00:05:10	23:55:08	1 day 00:00:19	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	1 day 00:00:07	1 day 00:00:07	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:57:33	23:57:33	
Exalt-6 di Telkom Sgta	00:29:36	23:28:50	23:58:26	
Genset CH 15000	00:01:10	23:57:40	23:58:50	
Link M5 to PTH di M5	00:01:10	23:57:44	23:58:55	
Link PTH to M5 di PTH	00:00:00	23:58:41	23:58:41	

