Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:12:23	23:43:08	23:55:32	
03. Exalt KPC Pit A -----!	00:21:42	23:34:17	23:56:00	
04. Exalt KPC Pelangi Camp	00:21:42	23:34:02	23:55:45	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:55:33	23:55:33	
08. Exalt KPC di Pineridge -----!	00:00:00	23:55:33	23:55:33	
10. Link Metro PTDH Jakarta-----!	00:06:21	23:49:22	23:55:44	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:56:33	23:56:33	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:55:00	23:55:00	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:54:49	23:54:49	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:54:54	23:54:54	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:54:52	23:54:52	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:54:53	23:54:53	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:54:52	23:54:52	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:55:03	23:55:03	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:56:34	23:56:34	
Exalt-6 di Telkom Sgta	00:56:16	23:01:04	23:57:21	
Genset CH 15000	00:02:20	23:53:14	23:55:35	
Link M5 to PTH di M5	00:01:10	23:54:58	23:56:09	
Link PTH to M5 di PTH	00:01:10	23:54:59	23:56:10	

