Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:58:06	23:58:06	
03. Exalt KPC Pit A -----!	00:03:05	23:55:07	23:58:13	
04. Exalt KPC Pelangi Camp	00:00:00	23:58:08	23:58:08	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:55:06	23:55:06	
08. Exalt KPC di Pineridge -----!	00:00:00	23:55:06	23:55:06	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:59:21	23:59:21	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:57:28	23:57:28	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:53:53	23:53:53	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:54:07	23:54:07	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:54:06	23:54:06	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:53:55	23:53:55	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:53:55	23:53:55	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:54:09	23:54:09	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:54:35	23:54:35	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:57:48	23:57:48	
Exalt-6 di Telkom Sgta	00:17:18	23:39:23	23:56:42	
Genset CH 15000	00:00:00	23:58:29	23:58:29	
Link M5 to PTH di M5	00:00:00	23:57:28	23:57:28	
Link PTH to M5 di PTH	00:00:00	23:57:29	23:57:29	

