Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:57:56	23:57:56	
03. Exalt KPC Pit A -----!	00:15:30	23:40:00	23:55:30	
04. Exalt KPC Pelangi Camp	00:00:00	23:57:54	23:57:54	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:57:56	23:57:56	
08. Exalt KPC di Pineridge -----!	00:00:00	23:57:58	23:57:58	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:56:53	23:56:53	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:58:16	23:58:16	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:58:44	23:58:44	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:58:52	23:58:52	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:58:55	23:58:55	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:58:44	23:58:44	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:58:47	23:58:47	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:59:00	23:59:00	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:54:32	23:54:32	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:57:42	23:57:42	
Exalt-6 di Telkom Sgta	01:25:36	22:32:02	23:57:38	
Genset CH 15000	00:00:00	23:57:16	23:57:16	
Link M5 to PTH di M5	00:00:00	23:57:33	23:57:33	
Link PTH to M5 di PTH	00:00:00	23:57:58	23:57:58	

