Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:16:34	23:41:04	23:57:38	
03. Exalt KPC Pit A -----!	00:13:32	23:44:08	23:57:40	
04. Exalt KPC Pelangi Camp	00:16:38	23:41:04	23:57:42	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:10:24	23:47:18	23:57:42	
08. Exalt KPC di Pineridge -----!	00:10:34	23:47:05	23:57:40	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:59:04	23:59:04	
11. ALU M5                      Oncall Telco SGT	00:09:28	23:48:08	23:57:37	
12. ALU SURYA              Oncall Telco SGT	00:06:28	23:50:42	23:57:11	
13. ALU BINTANG          Oncall Telco SGT	00:05:59	23:50:52	23:56:52	
14. ALU AB                      Oncall Telco SGT	00:05:59	23:50:53	23:56:53	
15. ALU HATARI             Oncall Telco SGT	00:06:22	23:50:42	23:57:05	
16. ALU PTH                    Oncall Telco SGT	00:06:12	23:50:45	23:56:58	
17. ALU P11                    Oncall Telco SGT	00:10:57	23:45:51	23:56:49	
18. ALU FNORTH            Oncall Telco SGT	00:10:28	23:45:57	23:56:26	
19. ALU 15000                 Oncall Telco BGL	00:10:20	23:46:00	23:56:21	
Exalt-6 di Telkom Sgta	00:12:12	23:45:47	23:58:00	
Genset CH 15000	00:12:48	23:44:49	23:57:37	
Link M5 to PTH di M5	00:00:00	23:57:27	23:57:27	
Link PTH to M5 di PTH	00:00:00	23:57:22	23:57:22	

