Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:57:53	23:57:53	
03. Exalt KPC Pit A -----!	00:12:24	23:45:57	23:58:22	
04. Exalt KPC Pelangi Camp	00:00:00	23:57:57	23:57:57	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:57:53	23:57:53	
08. Exalt KPC di Pineridge -----!	00:00:00	23:57:53	23:57:53	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:58:56	23:58:56	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:58:10	23:58:10	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:58:43	23:58:43	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:58:50	23:58:50	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:58:50	23:58:50	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:58:42	23:58:42	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:58:44	23:58:44	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:58:56	23:58:56	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:59:29	23:59:29	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:59:29	23:59:29	
Exalt-6 di Telkom Sgta	00:00:00	23:59:11	23:59:11	
Genset CH 15000	00:00:00	23:59:21	23:59:21	
Link M5 to PTH di M5	00:00:00	23:59:18	23:59:18	
Link PTH to M5 di PTH	00:00:00	23:58:31	23:58:31	

