Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:58:51	23:58:51	
03. Exalt KPC Pit A -----!	00:02:34	23:56:07	23:58:41	
04. Exalt KPC Pelangi Camp	00:00:00	23:58:49	23:58:49	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:59:32	23:59:32	
08. Exalt KPC di Pineridge -----!	00:00:00	23:59:32	23:59:32	
10. Link Metro PTDH Jakarta-----!	00:00:00	23:59:38	23:59:38	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:57:37	23:57:37	
12. ALU SURYA              Oncall Telco SGT	00:00:00	1 day 00:01:25	1 day 00:01:25	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	1 day 00:00:54	1 day 00:00:54	
14. ALU AB                      Oncall Telco SGT	00:00:00	1 day 00:01:07	1 day 00:01:07	
15. ALU HATARI             Oncall Telco SGT	00:00:00	1 day 00:01:26	1 day 00:01:26	
16. ALU PTH                    Oncall Telco SGT	00:00:00	1 day 00:01:28	1 day 00:01:28	
17. ALU P11                    Oncall Telco SGT	00:00:00	1 day 00:00:54	1 day 00:00:54	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:54:28	23:54:28	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:58:49	23:58:49	
Exalt-6 di Telkom Sgta	00:45:58	23:12:58	23:58:56	
Genset CH 15000	00:00:00	23:57:19	23:57:19	
Link M5 to PTH di M5	00:00:00	23:57:13	23:57:13	
Link PTH to M5 di PTH	00:00:00	23:56:47	23:56:47	

