Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	1 day 00.02.17	1 day 00.02.17	00.00.00	
2. Link Surya to M5	Host is alive	23.57.18	23.57.18	00.00.00	
3. Link Surya to New AB	Host is alive	23.57.20	23.57.20	00.00.00	
4. Link New AB to Surya	Host is alive	23.57.19	23.57.19	00.00.00	
5. Link New AB to Farnorth	Host is alive	23.57.19	23.57.19	00.00.00	
6. Link Farnorth to New AB	Host is alive	23.51.14	23.51.14	00.00.00	
7. Farnorth to Mega Shop	Host is alive	1 day 00.00.35	1 day 00.00.35	00.00.00	
8. Mega Shop to Farnorth	No answer	23.35.04	00.00.00	23.35.04	
9. Link Liebherr Office To Surya	Host is alive	23.50.49	23.50.49	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	23.50.50	23.50.50	00.00.00	

