Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.57.00	23.57.00	00.00.00	
10. Link Liebherr Office To Surya	Host is alive	1 day 00.01.22	1 day 00.01.22	00.00.00	
2. Link Surya to M5	Host is alive	23.57.00	23.57.00	00.00.00	
3. Link Surya to New AB	Host is alive	23.57.00	23.57.00	00.00.00	
4. Link New AB to Surya	Host is alive	23.57.00	23.57.00	00.00.00	
5. Link New AB to Farnorth	Host is alive	23.57.00	23.57.00	00.00.00	
6. Link Farnorth to New AB	Host is alive	23.51.23	23.51.23	00.00.00	
7. Farnorth to Mega Shop	Host is alive	1 day 00.00.25	1 day 00.00.25	00.00.00	
8. Mega Shop to Farnorth	Host is alive	1 day 00.02.00	16.00.15	08.01.45	
9. Link Surya To Liebherr Office	Host is alive	1 day 00.01.20	1 day 00.01.20	00.00.00	

