Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:59:21	23:59:21	00:00:00	
2. Link Surya to M5	Host is alive	23:59:21	23:52:20	00:07:01	
3. Link Surya to New AB	Host is alive	23:59:33	23:52:32	00:07:01	
4. Link New AB to Surya	Host is alive	23:59:33	23:52:32	00:07:01	
5. Link New AB to Farnorth	Host is alive	23:59:31	23:52:30	00:07:01	
6. Link Farnorth to New AB	Host is alive	23:59:32	23:42:54	00:16:37	
7. Farnorth to Mega Shop	Host is alive	23:49:21	23:32:10	00:17:10	
8. Mega Shop to Farnorth	Host is alive	23:49:14	22:02:11	01:47:02	
9. Link Liebherr Office To Surya	Host is alive	23:59:22	23:52:15	00:07:07	
9. Link Surya To Liebherr Office	Host is alive	23:59:22	23:52:15	00:07:07	

