Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC LINK\
01. Node Pit B bengalon	Host is alive	23.57.34	23.57.34	00.00.00	
02. Switch KPC LBTT	Host is alive	23.52.41	23.52.41	00.00.00	
04. Exalt KPC Pelangi Camp	Host is alive	23.57.42	23.52.37	00.05.04	
05. Switch KPC 15K	Host is alive	23.52.39	23.52.39	00.00.00	
22. Link TBTS Galaxy ( switch )	Host is alive	23.52.37	23.52.37	00.00.00	
Exalt CH15000 (arah CH22)	Host is alive	23.52.43	23.47.41	00.05.02	
Exalt CH15000 (arah Explor)	Host is alive	23.52.38	23.42.31	00.10.07	
Exalt CH15000 (arah Pelangi)	Host is alive	23.57.39	23.47.33	00.10.05	
Exalt CH15000 (arah Pos 14)	Host is alive	23.57.36	23.52.32	00.05.03	
Genset CH 15000	Host is alive	23.52.39	23.52.39	00.00.00	

