Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	23:57:45	23:52:20	00:05:24	
04. Exalt KPC Pelangi Camp	Host is alive	23:56:50	23:52:18	00:04:31	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:58:05	23:52:16	00:05:48	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:58:03	23:52:18	00:05:44	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	1 day 00:09:11	23:51:48	00:17:23	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:57:53	23:52:18	00:05:34	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:58:00	23:52:16	00:05:43	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:57:54	23:52:16	00:05:37	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:57:37	23:52:33	00:05:03	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:57:51	23:52:18	00:05:32	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:57:49	23:52:21	00:05:27	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23:57:26	23:52:20	00:05:05	
21. Link TBTS Inul Middle	Host is alive	23:57:31	23:52:17	00:05:13	
22. Link TBTS Galaxy	Host is alive	23:58:01	23:52:17	00:05:43	
23. Link TBTS Lignite	Host is alive	23:58:03	23:52:14	00:05:48	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:55:33	23:47:21	00:08:12	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	23:57:52	23:52:20	00:05:31	
Genset CH 15000	Host is alive	23:57:07	23:51:14	00:05:52	

