Test name	Status	Reply	Alive %	Dead %	Average reply	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	5 ms	96.27 %	3.73 %	7.2	
04. Exalt KPC Pelangi Camp	Host is alive	9 ms	95.93 %	4.07 %	10	
11. ALU M5                      Oncall Telco SGT	Host is alive	19 ms	100.00 %	0.00 %	13	
12. ALU SURYA              Oncall Telco SGT	Host is alive	10 ms	100.00 %	0.00 %	19	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	12 ms	100.00 %	0.00 %	24	
14. ALU AB                      Oncall Telco SGT	Host is alive	31 ms	100.00 %	0.00 %	25	
15. ALU HATARI             Oncall Telco SGT	Host is alive	26 ms	100.00 %	0.00 %	22	
16. ALU PTH                    Oncall Telco SGT	Host is alive	31 ms	100.00 %	0.00 %	24	
17. ALU P11                    Oncall Telco SGT	Host is alive	40 ms	100.00 %	0.00 %	28	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	31 ms	100.00 %	0.00 %	31	
19. ALU 15000                 Oncall Telco BGL	Host is alive	20 ms	99.66 %	0.34 %	27	
21. Link TBTS Inul Middle	Host is alive	7 ms	96.60 %	3.40 %	9.0	
22. Link TBTS Galaxy	Host is alive	5 ms	96.60 %	3.40 %	12	
23. Link TBTS Lignite	Host is alive	8 ms	96.60 %	3.40 %	8.6	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	30 ms	100.00 %	0.00 %	30	
Genset CH 15000	Host is alive	8 ms	98.17 %	1.83 %	8.8	

