Test name	Status	Reply	Alive %	Dead %	Average reply	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	5 ms	100.00 %	0.00 %	7.5	
04. Exalt KPC Pelangi Camp	Host is alive	9 ms	97.93 %	2.07 %	10	
11. ALU M5                      Oncall Telco SGT	Host is alive	9 ms	100.00 %	0.00 %	12	
12. ALU SURYA              Oncall Telco SGT	Host is alive	15 ms	100.00 %	0.00 %	21	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	16 ms	100.00 %	0.00 %	22	
14. ALU AB                      Oncall Telco SGT	Host is alive	21 ms	100.00 %	0.00 %	26	
15. ALU HATARI             Oncall Telco SGT	Host is alive	14 ms	100.00 %	0.00 %	23	
16. ALU PTH                    Oncall Telco SGT	Host is alive	12 ms	100.00 %	0.00 %	25	
17. ALU P11                    Oncall Telco SGT	Host is alive	16 ms	100.00 %	0.00 %	29	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23 ms	100.00 %	0.00 %	30	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23 ms	98.27 %	1.73 %	32	
21. Link TBTS Inul Middle	Host is alive	8 ms	100.00 %	0.00 %	9.4	
22. Link TBTS Galaxy	Host is alive	7 ms	100.00 %	0.00 %	12	
23. Link TBTS Lignite	Host is alive	9 ms	100.00 %	0.00 %	9.2	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	24 ms	100.00 %	0.00 %	24	
Genset CH 15000	Host is alive	8 ms	98.45 %	1.55 %	8.7	

