Test name	Status	Reply	Alive %	Dead %	Average reply	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	14 ms	100.00 %	0.00 %	12	
04. Exalt KPC Pelangi Camp	Host is alive	11 ms	100.00 %	0.00 %	11	
11. ALU M5                      Oncall Telco SGT	Host is alive	4 ms	100.00 %	0.00 %	16	
12. ALU SURYA              Oncall Telco SGT	Host is alive	15 ms	100.00 %	0.00 %	24	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	15 ms	100.00 %	0.00 %	14	
14. ALU AB                      Oncall Telco SGT	Host is alive	18 ms	100.00 %	0.00 %	29	
15. ALU HATARI             Oncall Telco SGT	Host is alive	20 ms	100.00 %	0.00 %	26	
16. ALU PTH                    Oncall Telco SGT	Host is alive	21 ms	100.00 %	0.00 %	29	
17. ALU P11                    Oncall Telco SGT	Host is alive	19 ms	100.00 %	0.00 %	33	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	22 ms	100.00 %	0.00 %	36	
19. ALU 15000                 Oncall Telco BGL	Host is alive	26 ms	100.00 %	0.00 %	36	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	35 ms	100.00 %	0.00 %	39	
21. Link TBTS Inul Middle	Host is alive	12 ms	100.00 %	0.00 %	11	
22. Link TBTS Galaxy	Host is alive	10 ms	100.00 %	0.00 %	11	
23. Link TBTS Lignite	Host is alive	14 ms	100.00 %	0.00 %	11	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	30 ms	100.00 %	0.00 %	29	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	26 ms	100.00 %	0.00 %	18	
Genset CH 15000	Host is alive	8 ms	100.00 %	0.00 %	8.7	

