Test name	Status	Reply	Alive %	Dead %	Average reply	

Folder: MONITORING\KPC\
11. ALU M5                      Oncall Telco SGT	Host is alive	12 ms	100.00 %	0.00 %	10	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23 ms	100.00 %	0.00 %	18	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	13 ms	100.00 %	0.00 %	23	
15. ALU HATARI             Oncall Telco SGT	Host is alive	8 ms	100.00 %	0.00 %	18	
14. ALU AB                      Oncall Telco SGT	Host is alive	18 ms	100.00 %	0.00 %	21	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	17 ms	100.00 %	0.00 %	24	
23. Link TBTS Lignite	Host is alive	8 ms	100.00 %	0.00 %	8.5	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	17 ms	100.00 %	0.00 %	25	
21. Link TBTS Inul Middle	Host is alive	7 ms	100.00 %	0.00 %	8.3	
Genset CH 15000	Host is alive	10 ms	100.00 %	0.00 %	8.6	
19. ALU 15000                 Oncall Telco BGL	Host is alive	24 ms	100.00 %	0.00 %	26	
22. Link TBTS Galaxy	Host is alive	12 ms	94.30 %	5.70 %	11	
16. ALU PTH                    Oncall Telco SGT	Host is alive	10 ms	94.61 %	5.39 %	18	
17. ALU P11                    Oncall Telco SGT	Host is alive	18 ms	94.22 %	5.78 %	21	
04. Exalt KPC Pelangi Camp	Host is alive	10 ms	92.59 %	7.41 %	10	
02. Switch KPC LBTT	Host is alive	7 ms	88.51 %	11.49 %	7.1	

