Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	23:54:10	23:54:10	00:00:00	
03. Exalt KPC Pit A -----!	No answer	23:54:19	23:49:14	00:05:04	
04. Exalt KPC Pelangi Camp	Host is alive	23:54:10	23:54:10	00:00:00	
05. Switch KPC 15K	Host is alive	23:54:10	23:54:10	00:00:00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:54:13	23:54:13	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:54:13	23:54:13	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23:39:16	23:39:16	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:54:16	23:54:16	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:54:15	23:54:15	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:54:16	23:54:16	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:54:16	23:54:16	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:54:14	23:54:14	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:54:14	23:54:14	00:00:00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23:54:14	23:54:14	00:00:00	
21. Link TBTS Inul Middle	Host is alive	23:54:10	23:54:10	00:00:00	
22. Link TBTS Galaxy	Host is alive	23:54:10	23:54:10	00:00:00	
23. Link TBTS Lignite	Host is alive	23:54:10	23:54:10	00:00:00	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:54:15	23:54:15	00:00:00	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	23:54:14	23:54:14	00:00:00	
26. Link Backup Nokia Lignite to Middle	Host is alive	23:54:10	23:54:10	00:00:00	
27. Link Backup Nokia Lignite to Middle	Host is alive	23:54:16	23:54:16	00:00:00	
Genset CH 15000	Host is alive	23:55:27	23:55:27	00:00:00	

