Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.58.02	23.47.45	00.10.16	
10. Link Liebherr Office To Surya	Host is alive	23.59.45	23.49.37	00.10.08	
2. Link Surya to M5	Host is alive	23.58.15	23.47.58	00.10.16	
3. Link Surya to New AB	Host is alive	23.58.04	23.47.47	00.10.16	
4. Link New AB to Surya	Host is alive	23.58.04	23.47.47	00.10.16	
5. Link New AB to Farnorth	Host is alive	23.58.04	23.47.47	00.10.16	
6. Link Farnorth to New AB	Host is alive	23.59.48	23.49.40	00.10.08	
7. Farnorth to Mega Shop	Host is alive	1 day 00.00.22	1 day 00.00.22	00.00.00	
8. Mega Shop to Farnorth	No answer	23.55.22	06.01.25	17.53.56	
9. Link Surya To Liebherr Office	Host is alive	23.59.45	23.49.37	00.10.08	

